drug_name,rxcui
Ibuprofen,5640
Naproxen,7258
Diclofenac,3355
Celecoxib,140587
Aspirin,1191
Lisinopril,29046
Enalapril,3827
Ramipril,35296
Captopril,1998
Perindopril,54552
Warfarin,11289
Azithromycin,18631
Clarithromycin,21212
Erythromycin,4053
Ciprofloxacin,2551
Levofloxacin,82122
Moxifloxacin,139462
Amoxicillin,723
Ampicillin,733
Amoxicillin-Clavulanate,19711
Metoprolol,6918
Atenolol,1202
Propranolol,8787
Bisoprolol,19484
Carvedilol,20352
Amlodipine,17767
Nifedipine,7417
Diltiazem,3443
Verapamil,11170
Furosemide,4603
Bumetanide,1808
Torsemide,38413
Hydrochlorothiazide,5487
Chlorthalidone,2409
Indapamide,5764
Atorvastatin,83367
Rosuvastatin,301542
Simvastatin,36567
Pravastatin,
Lovastatin,
Metformin,
Sertraline,
Fluoxetine,4493
Escitalopram,321988
Paroxetine,32937
Citalopram,2556
Diazepam,3322
Lorazepam,6470
Alprazolam,596
Clonazepam,2598
Morphine,7052
Oxycodone,7804
Codeine,2670
Tramadol,10689
Omeprazole,7646
Pantoprazole,40790
Esomeprazole,283742
Lansoprazole,17128
Glipizide,4821
Glyburide,4815
Glimepiride,25789
Prednisone,8640
Dexamethasone,3264
Hydrocortisone,5492
Methylprednisolone,6902
Losartan,52175
Valsartan,69749
Irbesartan,83818
Telmisartan,73494
Apixaban,1364430
Rivaroxaban,1114195
Dabigatran,1546356
Paracetamol,161
Salbutamol,435
Methotrexate,6851
Levothyroxine,10582
NeuroCalm-X,
